Code,Name,Name KH,Category Code,7 ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
2Adapter-1001 ,ថ្គៀមផ្លែខួងពណ៌លឿង V20,Adapters V20,2Accessory-1001,7,$11.00,$15.00,20, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Adapter-1001 .png,standard
2BG-1001 ,អាក់BG Q0.60*3.6mm,Kelly Pin Q0.6x3.6mm,2Accessory-1001,7,$80.00,$80.00,2, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2BG-1001 .png,standard
2BG-1002 ,ដែកបន្ទះសំរាប់ BG,Constrain BG,2Accessory-1001,5,$0.00,$0.00,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2BG-1002 .png,standard
2Boot-1001 ,ស្បែកជើងក្បាលដែកកខ្លី,2Safety-1001 Boots,2Accessory-1001,4,$23.50,$23.50,5, No Tax, inclusive,2Safety-1001,,,,,,,,,,,,,2Boot-1001 .png,standard
2Boot-1002 ,ស្បែកជើងក្បាលដែកកវែង,2Safety-1001 Boots Water Proof,2Accessory-1001,4,$12.00,$12.00,5, No Tax, inclusive,2Safety-1001,,,,,,,,,,,,,2Boot-1002 .png,standard
2Boot-1003 ,ស្បែកជើងកវែង,Black Shoes,2Accessory-1001,4,$2.50,$2.50,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Boot-1003 .png,standard
2Brush-1001 ,ច្រាសដែក,Iron Brush,2Accessory-1001,7,$0.90,$0.90,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Brush-1001 .png,standard
2Brush-1002 ,ជកលាបថ្នាំ,Paint Brushes,2Accessory-1001,7,$1.00,$1.00,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Brush-1002 .png,standard
2CAP-1001 ,មួកខៀវសុវត្ថិភាព,Helmet Blue,2Accessory-1001,7,$1.00,$1.00,5, No Tax, inclusive,2Safety-1001,,,,,,,,,,,,,2CAP-1001 .png,standard
2CAP-1002 ,មួកលឿងសុវត្ថិភាព,Helmet Yellow,2Accessory-1001,7,$1.00,$1.00,5, No Tax, inclusive,2Safety-1001,,,,,,,,,,,,,2CAP-1002 .png,standard
2CAP-1003 ,មួកសសុវត្ថិភាព,Helmet White,2Accessory-1001,7,$13.00,$13.00,5, No Tax, inclusive,2Safety-1001,,,,,,,,,,,,,2CAP-1003 .png,standard
2Clamp-1001 ,គូរីយ៉េ 80,Hose Clamp 80,2Accessory-1001,7,$0.95,$0.95,20, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Clamp-1001 .png,standard
2Clamp-1002 ,គូរីយ៉េ 85,Hose Clamp 85,2Accessory-1001,7,$0.95,$0.95,20, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Clamp-1002 .png,standard
2Coolant-1001 ,ថ្នាំដាក់ធុងទឹក,Radiator Coolant,2Accessory-1001,7,$1.50,$1.50,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Coolant-1001 .png,standard
2Electrode-1001 ,ធូបផ្សារ (Q3.2 x 350mm ​ផ្សារដែកធម្មតា),Convered Electrode X1 3.2x350mm,2Accessory-1001,3,$19.00,$19.00,10, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Electrode-1001 .png,standard
2Electrode-1002 ,ធូបផ្សារ (Q3.2 x 350mm ​ផ្សារដែកអ៊ីនុក),Convered Electrode Stainless 3.2x350mm,2Accessory-1001,3,$21.00,$21.00,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Electrode-1002 .png,standard
2Electrode-1003 ,ធូបផ្សារ Hyundai ​3.2x350mm  S-7016,Convered Electrode S-7016 Hyundai,2Accessory-1001,3,$9.75,$9.75,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Electrode-1003 .png,standard
2Electrode-1004 ,ធូបផ្សារ Hyundai ​4.0x400mm  S-711,Convered Electrode S-711 Hyundai,2Accessory-1001,3,$60.50,$60.50,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Electrode-1004 .png,standard
2Garden-1001 ,ផ្លែប៉ែលជ្រុង,Garden Shovel,2Tool3002,7,$2.50,$2.50,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Garden-1001 .png,standard
2Garden-1002 ,ផ្លែចបកាប់,Garden Hoe,2Tool3002,7,$2.50,$2.50,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Garden-1002 .png,standard
2Glove-1001 ,ស្រោមដៃស្បែក,Leather Gloves,2Accessory-1001,3,$13.30,$13.30,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Glove-1001 .png,standard
2Glove-1002 ,ស្រោមដៃចាក់,2Safety-1001 Gloves,2Accessory-1001,3,$2.20,$2.20,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Glove-1002 .png,standard
2Goggle-1001 ,វ៉ែនតាខ្មៅ,2Welding-1001 Goggle,2Accessory-1001,7,$0.90,$0.90,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Goggle-1001 .png,standard
2Grease-1001 ,ស្នប់បាញ់ខ្លាញ់,Grease Gun,2Accessory-1001,7,$9.00,$9.00,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Grease-1001 .png,standard
2Grease-1002 ,ក្បាលស្នប់តបាញ់ខ្លាញ់ (ដែក),Lever Action Grease Gun (Steel),2Accessory-1001,7,$1.50,$1.50,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Grease-1002 .png,standard
2Grease-1003 ,ក្បាលស្នប់តបាញ់ខ្លាញ់ (ជ័រ),Lever Action Grease Gun,2Accessory-1001,7,$1.50,$1.50,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Grease-1003 .png,standard
2Grinding-1001 ,ថ្មឆាប Q1T,Grinding Discs 100 Alibaba,2Accessory-1001,5,$0.50,$0.50,15, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Grinding-1001 .png,standard
2Grinding-1002 ,ថ្មឆាប Q1.8T,Grinding Discs 180x6x22 Alibaba,2Accessory-1001,5,$1.18,$1.18,20, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Grinding-1002 .png,standard
2Grinding-1003 ,ថ្មកាត់ Q1T,Grinding 100 Alibaba,2Accessory-1001,5,$0.35,$0.35,20, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Grinding-1003 .png,standard
2Grinding-1004 ,ថ្មកាត់ KOVET Q1.8​T,Grinding (180x6x22mm) Alibaba,2Accessory-1001,5,$1.18,$1.18,15, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Grinding-1004 .png,standard
2Grinding-1005 ,ថ្មកាត់ដែក Alibaba Q3.5T,Grinding (350x25.4mm) Alibaba,2Accessory-1001,5,$2.20,$2.20,25, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Grinding-1005 .png,standard
2Mask-1001 ,ម៉ាសបិទមុខ,Face Mask,2Accessory-1001,3,$1.50,$1.50,3, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Mask-1001 .png,standard
22-1001 ,ម៉ែត្រវាស់ (50m),Measureing Tape 50 2,2Accessory-1001,7,$10.00,$10.00,5, No Tax, inclusive,2Surveying-1001,,,,,,,,,,,,,22-1001 .png,standard
22-1002 ,ម៉ែត្រវាស់ (7.5m),Measureing Tape 7.5 2,2Accessory-1001,7,$2.50,$2.50,15, No Tax, inclusive,2Surveying-1001,,,,,,,,,,,,,22-1002 .png,standard
22-1003 ,ម៉ែត្រ (5m),Measureing Tape 5 2,2Accessory-1001,7,$2.50,$2.50,5, No Tax, inclusive,2Surveying-1001,,,,,,,,,,,,,22-1003 .png,standard
2O-Ring-1001 ,រេញបំពង់ចាក់,O-Ring  Spare 240,2Accessory-1001,7,$2.50,$2.50,50, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2O-Ring-1001 .png,standard
2O-Ring-1002 ,រេញក្បាលអ៊ុក,O-Ring Pump Adapter,2Accessory-1001,7,$0.50,$0.50,20, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2O-Ring-1002 .png,standard
22Other-1001-1001 ,ផ្លែរណា,Handsaw,2Accessory-1001,7,$0.25,$0.25,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,22Other-1001-1001 .png,standard
22Other-1001-1002 ,ដីស,Chalk,2Accessory-1001,3,$2.00,$2.00,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,22Other-1001-1002 .png,standard
22Other-1001-1003 ,ថង់ដាក់ដី,Bag,2Accessory-1001,1,$3.00,$3.00,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,22Other-1001-1003 .png,standard
22Other-1001-1004 ,ក្បាលអាគុយ,Battery Terminal,2Accessory-1001,4,$1.00,$1.00,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,22Other-1001-1004 .png,standard
2Plug-1001 ,ដុយភ្លើង,Plug,2Accessory-1001,7,$0.40,$0.40,10, No Tax, inclusive,2Electrical-1001,,,,,,,,,,,,,2Plug-1001 .png,standard
2Plug-1002 ,ដុយភ្លើងរន្ធបី,Plug Adapter Converter,2Accessory-1001,7,$1.00,$1.00,2, No Tax, inclusive,2Electrical-1001,,,,,,,,,,,,,2Plug-1002 .png,standard
2Plug-1003 ,ដុយ2ហ្វា 3P 16A,Plug 2FA 3P-16A,2Accessory-1001,6,$3.00,$3.00,5, No Tax, inclusive,2Electrical-1001,,,,,,,,,,,,,2Plug-1003 .png,standard
2Plug-1004 ,ដុយ3ហ្វា 4P 32A,Plug 3FA 4P-32A,2Accessory-1001,6,$4.60,$4.60,5, No Tax, inclusive,2Electrical-1001,,,,,,,,,,,,,2Plug-1004 .png,standard
2Plug-1005 ,ព្រីភ្លើង,Plug Sucket,2Accessory-1001,7,$0.80,$0.80,5, No Tax, inclusive,2Electrical-1001,,,,,,,,,,,,,2Plug-1005 .png,standard
2Pump-1003 ,ក្បាលអ៊បឈ្មោល,Pump Adapter Male,2Accessory-1001,7,$6.50,$6.50,10, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Pump-1003 .png,standard
2Pump-1004 ,ក្បាលអ៊បញី,Pump Adapter Female,2Accessory-1001,7,$6.50,$6.50,10, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Pump-1004 .png,standard
2Pump-1005 ,ក្បាលស្នេហ៍ក្នុង,Groove Hose Fitting Type A Cam,2Accessory-1001,7,$6.50,$6.50,2, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Pump-1005 .png,standard
2Pump-1006 ,ក្បាលស្នេហ៍ក្រៅ,Groove Hose Fitting Type B Cam,2Accessory-1001,7,$6.50,$6.50,2, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Pump-1006 .png,standard
2Pump-1007 ,ទុយោកក្របី 75-100,Water Pump Steel Wire,2Accessory-1001,7,$4.00,$4.00,2, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Pump-1007 .png,standard
2Pump-1008 ,វ៉ានបិទនិងបើកស៊ីទែនទឹក,Wafer Buterfly Valve,2Accessory-1001,7,$37.00,$37.00,2, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Pump-1008 .png,standard
2Reflective-1001 ,អាវកាក់ចាំងពន្លឺ,Reflective Vest,2Accessory-1001,7,$2.50,$2.50,6, No Tax, inclusive,2Safety-1001,,,,,,,,,,,,,2Reflective-1001 .png,standard
2Tape-1001 ,ស្កុតរុំខ្សែភ្លើង,2Electrical-1001 Tape,2Accessory-1001,7,$0.55,$0.55,10, No Tax, inclusive,2Electrical-1001,,,,,,,,,,,,,2Tape-1001 .png,standard
2Tape-1002 ,ស្កុតក្រណាត់រុំសូនិច,Flame Retarndant Tape,2Accessory-1001,7,$5.00,$5.00,10, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Tape-1002 .png,standard
2Tape-1003 ,ស្កុតរុំទឹក,Water Retardant Tape,2Accessory-1001,7,$0.55,$0.55,10, No Tax, inclusive,2Pumping-1001,,,,,,,,,,,,,2Tape-1003 .png,standard
2Tape-1004 ,ស្កុតព័ទ្ធការដ្ឋាន,Warning Tape,2Accessory-1001,7,$2.50,$2.50,10, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Tape-1004 .png,standard
2Tape-1005 ,ស្កុតថ្លា,Scotch Tape,2Accessory-1001,7,$1.00,$1.00,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Tape-1005 .png,standard
2Tape-1006 ,ស្កុតមុខពីរ,Double Sided Tape,2Accessory-1001,7,$1.50,$1.50,5, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Tape-1006 .png,standard
2Teeth-1001 ,ផ្លែធ្មេញ SK 3302,Bucket Teeth 3302,2Accessory-1001,7,$13.00,$13.00,5, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Teeth-1001 .png,standard
2Teeth-1002 ,បាឡុងSK 3302,Bolt and Nut 3302,2Accessory-1001,7,$1.00,$1.00,10, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Teeth-1002 .png,standard
2Teeth-1003 ,ផ្លែធ្មេញខួងពណ៌លឿង​​ V20,Bucket Teeth V20,2Accessory-1001,7,$12.00,$12.00,50, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Teeth-1003 .png,standard
2Teeth-1004 ,ផ្លែ B,Bullet Teeth,2Accessory-1001,7,$20.00,$25.00,300, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Teeth-1004 .png,standard
2Teeth-1005 ,ផ្លែខាត់ណា,Roller Bits,2Accessory-1001,7,$450.00,$450.00,10, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Teeth-1005 .png,standard
2Teeth-1006 ,ផ្លែអង្គុយ,Holder for Bullet Teeth,2Accessory-1001,7,$10.00,$15.00,50, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Teeth-1006 .png,standard
2Teeth-1007 ,ផ្លែរន្ធ២,Holder 2 for Bullet Teeth,2Accessory-1001,7,$15.00,$15.00,200, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,2Teeth-1007 .png,standard
2Tent-1001 ,តង់ 4*6,Tent 4mx6m,2Accessory-1001,2,$17.00,$17.00,0, No Tax, inclusive,2Other-1001,,,,,,,,,,,,,2Tent-1001 .png,standard
22Welding-1001-1001 ,កាត់ហ្គាសខ្យល់,Gas 2Welding-1001 Cutting Equipment,2Accessory-1001,6,$38.00,$38.00,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1001 .png,standard
22Welding-1001-1002 ,ប៊ិចកាត់ហ្គាសខ្យល់,Arcon Gas 2Welding-1001 Cutting,2Accessory-1001,7,$3.20,$3.20,15, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1002 .png,standard
22Welding-1001-1003 ,ដង្កៀបផ្សារ 600A/ក្បាលផ្សារ,Electrode Holder,2Accessory-1001,7,$7.20,$7.20,5, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1003 .png,standard
22Welding-1001-1004 ,ទឹកជ្រលក់ក្បាលប៉ិ៍សផ្សារ,Nozzle Dip Gel Kovet,2Accessory-1001,7,$7.00,$7.00,3, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1004 .png,standard
22Welding-1001-1005 ,ឌុយប៉ុស្តផ្សារ,2Welding-1001 Plug,2Accessory-1001,6,$8.00,$8.00,5, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1005 .png,standard
22Welding-1001-1006 ,កញ្ចក់កំបាំងផ្សារ,2Welding-1001 Glass,2Accessory-1001,7,$0.70,$0.70,10, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1006 .png,standard
22Welding-1001-1007 ,នាឡិកាប៉ុស MIG Panasonic YX-25CD1Hak,Panasonic Mig YX-25CD1Hak,2Accessory-1001,7,$200.00,$200.00,1, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1007 .png,standard
22Welding-1001-1008 ,ចុងផ្សារ Mig 1.2mm 350A Panasonic,Panasonic Mig 350 Welder Tips,2Accessory-1001,7,$3.00,$3.00,5, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1008 .png,standard
22Welding-1001-1009 ,សុងផ្សារ Mig 350A Panasonic,Panasonic Mig 2Welding-1001 Nozzle,2Accessory-1001,7,$13.00,$13.00,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1009 .png,standard
22Welding-1001-1010 ,កងរលូប៉ុស្តផ្សារ Panasonic Mig 350,Panasonich Mig Welder Wire Feed Driver Roller,2Accessory-1001,7,$48.00,$48.00,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1010 .png,standard
22Welding-1001-1011 ,សុងផ្សារ Mig 350A Panasonic ពណ៌ទឹកមាស,Panasonic Insulator Mig 350,2Accessory-1001,7,$13.00,$13.00,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1011 .png,standard
22Welding-1001-1012 ,រ៉ងផ្កាឈូក Mig 350A Panasonic,Gas Diffuser Panasonic 350,2Accessory-1001,7,$5.50,$5.50,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,22Welding-1001-1012 .png,standard
2Wire-1001 ,លួសផ្សារ SF-71 (1.2mm) ផ្សារដែកធម្មតា,Cored Wire SF-71 (1.2mm),2Accessory-1001,7,$44.00,$44.00,3, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Wire-1001 .png,standard
2Wire-1002 ,លួសផ្សារថែបរឹង Supershield CrCw,Cored Wire Supershield CrCw,2Accessory-1001,7,$225.00,$225.00,2, No Tax, inclusive,2Welding-1001,,,,,,,,,,,,,2Wire-1002 .png,standard
Adapter-1002 ,ថ្គៀមបែលSK 3302,Adapters 3302,2Accessory-1001,7,$20.00,$20.00,5, No Tax, inclusive,2Drilling-1001,,,,,,,,,,,,,Adapter-1002 .png,standard
